Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_launch,40,1048,1095,1158,1264,1274,759,1274,0.000%,.69470,1.89,0.51
02_login,40,1418,1364,1598,1794,1843,982,1843,0.000%,.69207,2.54,1.04
03_flights,40,1973,2034,2255,2341,2355,1328,2355,0.000%,.69229,6.58,1.56
04_continue,38,489,467,676,722,779,282,779,0.000%,.69036,1.99,0.48
05_payment,38,940,927,1052,1086,1219,793,1219,0.000%,.68915,2.46,0.90
06_home,36,1027,1115,1172,1185,1220,595,1220,0.000%,.66564,1.89,0.61
07_logout,35,904,919,948,949,1165,663,1165,0.000%,.70689,1.92,0.59
TOTAL,267,1125,1052,1964,2081,2258,282,2355,0.000%,4.42705,17.87,5.27
