Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_launch,236,1961,1517,1659,1749,4283,1380,48615,0.000%,.35566,2.11,0.66
02_login,233,1432,1186,1397,1469,1563,1008,33872,0.429%,.36143,1.27,0.48
03_logout,233,1083,860,1008,1028,5291,743,26281,0.000%,.35587,0.96,0.27
TOTAL,702,1494,1190,1578,1637,5290,743,48615,0.142%,1.05793,4.30,1.39
